respondent_id,date,region,age_group,gender,education,Q1,Q1_text,Q2,Q2_text,Q3,Q3_text,Q4,Q4_text,month,month_name,week
R0001,2024-01-27,East,18-24,Male,Bachelor's,C++,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,1,Jan,4
R0002,2024-02-20,North,18-24,Female,High School,C++,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,2,Feb,8
R0003,2024-04-18,South,45-54,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,16
R0004,2024-01-12,North,18-24,Female,Master's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,2
R0005,2024-05-27,East,35-44,Female,PhD,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?,5,May,22
R0006,2024-04-26,Central,45-54,Female,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,4,Apr,17
R0007,2024-02-13,South,55+,Female,Master's,Java,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,2,Feb,7
R0008,2024-01-15,Central,35-44,Male,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,1,Jan,3
R0009,2024-06-16,North,55+,Female,Bachelor's,Java,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,24
R0010,2024-04-19,North,35-44,Female,Master's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,,Which cloud platform do you use most?,4,Apr,16
R0011,2024-06-09,East,18-24,Male,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?,6,Jun,23
R0012,2024-01-03,East,25-34,Male,Master's,C++,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,GCP,Which cloud platform do you use most?,1,Jan,1
R0013,2024-01-01,West,25-34,Male,Bachelor's,Go,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,1,Jan,1
R0014,2024-06-12,North,45-54,Female,Bachelor's,Java,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,24
R0015,2024-05-05,Central,45-54,Female,Master's,Python,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,GCP,Which cloud platform do you use most?,5,May,18
R0016,2024-01-22,South,18-24,Female,PhD,C++,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?,1,Jan,4
R0017,2024-05-15,North,35-44,Non-binary,Bachelor's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?,5,May,20
R0018,2024-06-15,West,18-24,Male,Other,Python,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?,6,Jun,24
