respondent_id,date,region,age_group,gender,education,Q1,Q1_text,Q2,Q2_text,Q3,Q3_text,Q4,Q4_text
R0001,2024-01-27,East,18-24,Male,Bachelor's,C++,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0002,2024-02-20,North,18-24,Female,High School,C++,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0003,2024-04-18,South,45-54,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0004,2024-01-12,North,18-24,Female,Master's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0005,2024-05-27,East,35-44,Female,PhD,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?
R0006,2024-04-26,Central,45-54,Female,Bachelor's,C++,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0007,2024-02-13,South,55+,Female,Master's,Java,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0008,2024-01-15,Central,35-44,Male,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0009,2024-06-16,North,55+,Female,Bachelor's,Java,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0010,2024-04-19,North,35-44,Female,Master's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,None,Which cloud platform do you use most?
R0011,2024-06-09,East,18-24,Male,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0012,2024-01-03,East,25-34,Male,Master's,C++,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,GCP,Which cloud platform do you use most?
R0013,2024-01-01,West,25-34,Male,Bachelor's,Go,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0014,2024-06-12,North,45-54,Female,Bachelor's,Java,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0015,2024-05-05,Central,45-54,Female,Master's,Python,Which programming language do you prefer?,Very Dissatisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,GCP,Which cloud platform do you use most?
R0016,2024-01-22,South,18-24,Female,PhD,C++,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0017,2024-05-15,North,35-44,Non-binary,Bachelor's,JavaScript,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0018,2024-06-15,West,18-24,Male,Other,Python,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0019,2024-01-02,North,18-24,Female,Master's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,None,Which cloud platform do you use most?
R0020,2024-02-24,Central,18-24,Male,Master's,Java,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0021,2024-06-17,North,25-34,Male,High School,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?
R0022,2024-03-27,West,55+,Male,Bachelor's,JavaScript,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0023,2024-01-20,North,18-24,Male,PhD,Java,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0024,2024-03-01,Central,45-54,Non-binary,PhD,Python,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0025,2024-04-26,North,25-34,Prefer not to say,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?
R0026,2024-01-15,West,25-34,Male,Bachelor's,Java,Which programming language do you prefer?,Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0027,2024-05-10,East,25-34,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,GCP,Which cloud platform do you use most?
R0028,2024-06-01,North,18-24,Female,Bachelor's,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0029,2024-03-08,South,18-24,Female,Bachelor's,Python,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,Remote,What is your preferred work mode?,AWS,Which cloud platform do you use most?
R0030,2024-01-26,West,18-24,Male,Other,Python,Which programming language do you prefer?,Very Satisfied,How satisfied are you with online learning?,Remote,What is your preferred work mode?,None,Which cloud platform do you use most?
R0031,2024-05-19,Central,45-54,Male,Bachelor's,C++,Which programming language do you prefer?,Neutral,How satisfied are you with online learning?,On-site,What is your preferred work mode?,Azure,Which cloud platform do you use most?
R0032,2024-02-04,North,35-44,Male,Master's,Python,Which programming language do you prefer?,Dissatisfied,How satisfied are you with online learning?,Hybrid,What is your preferred work mode?,AWS,Which cloud platform do you use most?
